tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
1310,55,4,negative_cash,-0.21026768399374163,0.0,0.0,3.0,0.5,0.6,0.0,-4.1,0,2,1,3,1304,0,-78.11026768399374,82.0,20.5
1312,48,2,negative_cash,-4.509997119151073,6.3823933055184074,10.0,2.0,0.5,0.6,0.0,-6.717606694481592,1,2,1,2,1294,1,151.55478949188569,82.0,20.5
1312,47,6,negative_cash,-70.16258368400631,121.80825445543842,79.55254320130442,2.0,3.0,4.2,105.0,-71.944288745866,8,12,7,2,1297,1,195.5452839497459,3512.6619751371995,902.0336006219243
1314,68,5,negative_cash,-15.241506859217665,14.399999999999999,20.057513957657413,1.0,0.5,0.6,69.79509358596461,-77.55260754362202,2,2,1,1,1279,1,3111.4306567626327,0.0,0.0
1338,56,4,negative_cash,-2.268521602338182,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1329,0,-63.86852160233818,77.0,19.25
1375,73,5,negative_cash,-60.01404967555828,0.0,18.796848613953728,1.0,0.5,0.6,60.72802595451665,-81.62487456847037,2,2,1,1,1338,1,3005.5684197195346,0.0,0.0
1376,61,1,negative_cash,-12.780267769791038,2.710431899304544,10.0,6.0,0.5,0.6,0.0,-14.389568100695456,1,2,1,6,1359,1,108.55102787756869,142.0,35.5
1377,58,6,negative_cash,-59.9460049998508,156.88148221037952,150.0,1.0,2.25,3.5999999999999996,105.0,-104.96851778962048,15,9,6,1,1366,1,160.12458696356828,3208.098039215686,823.7542783474395
1381,62,1,negative_cash,-1.1992724805881592,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1377,0,-61.04927248058816,57.0,14.25
1420,74,5,negative_cash,-70.6155265258513,7.5,20.787952719136975,1.0,0.5,0.6,62.09907832651774,-77.48703104565472,2,2,1,1,1376,1,3424.3955735865784,0.0,0.0
1424,60,6,negative_cash,-70.27488497661639,164.95639720827225,130.00521840164882,1.0,2.5,6.0,105.0,-79.54882119337657,13,10,10,1,1407,1,13.413365873491102,4253.296675725284,1088.7185689231244
1449,65,4,negative_cash,-2.656245037172345,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1436,0,-51.856245037172336,77.0,19.25
1463,81,5,negative_cash,-21.880972315216695,0.0,21.502310913574828,1.0,0.5,0.6,63.0,-86.60231091357483,2,2,1,1,1429,1,3009.199909659904,0.0,0.0
1479,71,2,negative_cash,-0.6303301627985527,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1478,0,-61.563210899706945,97.0,24.25
