tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
2769.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,1.0,0.0,0.0004180891589735669,0.0,-0.026999974408248306
2770.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,3.0,0.0,0.0,-0.0036748904750334432,0.0,-0.016109570676509755
2771.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,-1.0,-0.0009075233801354443,-0.001484925904646106,0.0,-0.013973704878484483
2772.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,-1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0008309651942945973,-0.00010013597513625072,-0.014464533196317575
2773.0,0.0,0.0,0.0,4.0,-4.0,1.0,-3.0,-1.0,-3.0,0.0,0.0,0.0,4.0,-9.0,13.0,-4.0,0.0,0.006389803073783673,-0.00019143642305419206,-0.018252935925847424
2774.0,1.0,-1.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009075233801354443,0.0061758906243083445,0.0,-0.013989337174721506
2775.0,1.0,-1.0,2.0,-3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-9.0,2.0,-11.0,1.0,0.00092887687143417,-0.00019917241852951406,0.0,-0.018989723099021028
2776.0,-3.0,0.0,-3.0,-5.0,2.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,-8.0,2.0,-10.0,2.0,0.0,0.00196656822880259,-9.155655015624653e-5,0.0023937267915341565
2777.0,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,-0.00092887687143417,0.004326241165201861,-8.89406487232236e-5,-0.00953369285059491
2778.0,0.0,0.0,0.0,-5.0,5.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,7.0,-3.0,10.0,-1.0,0.0,-0.0012847523893395607,-8.643527833651632e-5,-0.006871270256377571
2779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,-0.0013742612083311734,0.00017537592705996197,0.05250712912643074
2780.0,0.0,2.0,-2.0,6.0,-6.0,0.0,-6.0,1.0,0.0,1.0,0.0,0.0,1.0,-4.0,5.0,0.0,0.016269492811094466,-0.000177012177564162,-8.894064872344565e-5,0.021152101743046714
